Input, KK, Repeated Random, Hill Climbing, Sim. Annealing, Prep. Repeated Rand, Prep. Hill Climbing, Prep. Sim. Annealing,
0, 7116, 202167570, 382808140, 17817898, 46, 176, 144,
1, 251581, 233592393, 8603149, 54682265, 47, 91, 49,
2, 925499, 47589807, 460389181, 14110329, 19291, 6493, 33841,
3, 99255, 41433759, 11013177, 112068391, 19, 65, 75,
4, 309, 576340515, 90012277, 222056155, 21, 213, 21,
5, 44142, 24476572, 281225406, 19933758, 22, 28, 26,
6, 11268, 253438822, 130322416, 33170662, 0, 44, 46,
7, 969855, 218979501, 489431573, 1309428689, 9469, 186965, 33619,
8, 52705, 103340021, 318560993, 550225313, 187, 49, 235,
9, 10771, 362905111, 294648355, 130356243, 71, 21, 19,
10, 874326, 790483482, 416739424, 17429882, 19640, 4820, 6018,
11, 660665, 368005981, 577326223, 38727075, 6845, 13955, 233,
12, 26184, 70958490, 96492304, 101055888, 22, 448, 66,
13, 945032, 71594042, 31710018, 689333100, 159408, 87564, 3192,
14, 31302, 127111928, 362965888, 358189270, 94, 92, 98,
15, 611803, 194620221, 225332649, 265118099, 2905, 48683, 53533,
16, 813848, 313380162, 95458900, 54274900, 680, 596, 64234,
17, 1940393, 140348073, 120911093, 112046427, 65, 25, 115,
18, 28756, 191352236, 621596700, 275162794, 0, 52, 232,
19, 127179, 72948431, 208699085, 116348561, 93, 93, 1,
20, 50179, 169723329, 46271193, 138529615, 23, 163, 21,
21, 21948, 162681890, 336127246, 121116058, 20, 76, 214,
22, 52565, 140920749, 248799811, 87344389, 137, 3, 1,
23, 1023680, 34209338, 251794034, 141479310, 43472, 7686, 1278,
24, 587053, 65231871, 11974737, 67043361, 77669, 220311, 44485,
25, 875, 48668057, 311940569, 241940443, 23, 21, 303,
26, 824665, 610020171, 26891329, 114959021, 3971, 509, 5805,
27, 1005108, 99886804, 455594082, 143836814, 7728, 101688, 34844,
28, 219201, 94821071, 70366213, 197445661, 49, 3, 41,
29, 540244, 104605322, 260604278, 348977812, 12366, 5264, 19060,
30, 177291, 536895525, 105410397, 8680311, 5, 5, 49,
31, 701887, 170421897, 343592441, 170142021, 14977, 179445, 1397,
32, 288703, 244513323, 1212114045, 50513671, 29, 447, 23,
33, 47495, 83856867, 1927953, 762567293, 69, 111, 17,
34, 118226, 57095152, 465717242, 292576298, 54, 46, 88,
35, 1813821, 132267149, 347681331, 185685113, 27, 71, 117,
36, 32269, 274597803, 766976935, 17985893, 71, 119, 23,
37, 67669, 195548215, 21391141, 96663793, 23, 407, 69,
38, 17608, 138536260, 1024706658, 736031122, 70, 254, 114,
39, 17329, 294724715, 21900993, 193429421, 19, 21, 17,
40, 63825, 323387899, 197403281, 57044439, 137, 331, 279,
41, 669938, 8229764, 56669774, 627273228, 2686, 2978, 1000,
42, 882906, 455857564, 174852418, 99927936, 31050, 44292, 63718,
43, 827656, 610062946, 126942148, 187963154, 10120, 10868, 772,
44, 1969926, 459479574, 131574122, 376487636, 44, 242, 46,
45, 24534, 12766128, 980762254, 46017820, 70, 680, 28,
46, 1066466, 137281872, 374445052, 302430458, 5766, 1946, 1528,
47, 261, 90433049, 323302509, 34759439, 67, 119, 19,
48, 976405, 824946983, 709425059, 216972245, 9373, 387, 30931,
49, 44947, 285550245, 186778813, 449040025, 71, 161, 69,
