Input, Repeated Random, Hill Climbing, Sim. Annealing, Prep. Repeated Rand, Prep. Hill Climbing, Prep. Sim. Annealing,
0, 199975642, 163758616, 311971136, 16, 82, 42,
1, 121744149, 1100157459, 322058969, 9005, 5755, 19271,
2, 13241287, 8780127, 1138234297, 15, 67, 67,
3, 236749079, 219303179, 715317793, 339, 5615, 1113,
4, 16747346, 73002150, 953100, 14982, 10652, 13056,
5, 104465796, 179024372, 12459948, 750, 25028, 8436,
6, 24114228, 215211354, 111290152, 90, 88, 2,
7, 211517026, 261832168, 81133426, 68, 166, 60,
8, 262285921, 693258935, 110693769, 3891, 7249, 30611,
9, 304086721, 3249797, 25015199, 5649, 4821, 13285,
10, 207622073, 120043393, 137419889, 108641, 156213, 198883,
11, 238727191, 1043360723, 34140757, 4361, 1159, 17187,
12, 349778151, 188799641, 217687199, 27, 17, 35,
13, 710031608, 404148000, 420305378, 40, 8, 4,
14, 508887621, 97442307, 342313247, 4899, 2439, 27473,
15, 247194334, 242429410, 115373054, 17708, 814, 29634,
16, 70563938, 496461140, 209069440, 70, 16, 164,
17, 254470851, 223224235, 55708927, 46541, 39431, 14875,
18, 629518454, 150221146, 216876382, 224, 4730, 176,
19, 24337578, 217133580, 35844088, 44, 46, 48,
20, 409058306, 497730316, 402199248, 6, 94, 88,
21, 35550877, 231194387, 74806493, 3, 45, 1,
22, 18890502, 146120280, 216812894, 135900, 9858, 898,
23, 167044969, 41417117, 1861874541, 53, 237, 9,
24, 128071103, 102117483, 375009977, 13157, 16303, 4771,
25, 514396343, 186481067, 338726507, 97, 5, 1,
26, 931152457, 36575493, 365675417, 16273, 4611, 19511,
27, 331982591, 198305631, 329386315, 29, 63, 67,
28, 236250428, 6490322, 221148686, 6060, 16514, 1206,
29, 76812975, 415439259, 33406285, 125, 21, 59,
30, 94620399, 142428285, 154364977, 1, 141, 1,
31, 47831086, 25360714, 121958258, 3020, 99878, 1038,
32, 71930634, 361535914, 75634976, 38634, 50936, 680,
33, 221728087, 477572449, 156061417, 235, 49, 1,
34, 49352111, 38579403, 416283073, 23097, 38321, 103131,
35, 20602353, 121963017, 320125757, 9707, 203303, 27019,
36, 531465548, 345923888, 190169954, 928, 1334, 28,
37, 1220726863, 29886223, 106949289, 2267, 5509, 11459,
38, 104181967, 40575717, 156905761, 24557, 8379, 1661,
39, 36583053, 245319625, 212218487, 21749, 35091, 45331,
40, 168578037, 80687677, 114953793, 41971, 101367, 15397,
41, 258122846, 306483116, 71604406, 19608, 18288, 6554,
42, 195597291, 96466219, 34870741, 29, 543, 303,
43, 21416236, 828131390, 62837382, 35474, 6624, 4088,
44, 19593383, 949444029, 59162847, 51, 45, 39,
45, 744342792, 288668120, 161862162, 17728, 39776, 7260,
46, 275910315, 194198701, 806089743, 12637, 1411, 19197,
47, 202183106, 105495202, 292177888, 0, 0, 50,
48, 462639340, 469375858, 236593676, 4686, 19204, 9594,
49, 169504542, 103284802, 373413400, 26, 400, 18,
